NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Sponsor,Collaborators,Study Type,Study Design,Start Date
NCT02255565,Dose Response Effects of Quillivant XR in Children With ADHD and Autism: A Pilot Study,https://clinicaltrials.gov/study/NCT02255565,COMPLETED,The purpose of this study is to determine whether Quillivant XR is effective in the treatment of ADHD in children with Autism Spectrum Disorder (ASD).,YES,ADHD|Autism,DRUG: Very Low Dose Quillivant XR|DRUG: Low Dose Quillivant XR|DRUG: Moderate Dose Quillivant XR,Seattle Children's Hospital,Pfizer,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2014-09
NCT00879320,Healthy Lifestyle in Adults With Attention Deficit Hyperactivity Disorder,https://clinicaltrials.gov/study/NCT00879320,COMPLETED,"The purpose of this study is to understand the relationship between ADHD and the overall health of someone with ADHD. People who have ADHD have trouble paying attention, concentrating, organizing, and planning. They may have trouble in school, at work, and at home. The investigators are interested in finding out whether these difficulties have had any influence in the past, current, or future health problems of someone with ADHD. About 100 people with ADHD and 100 people without ADHD will take part in this research study, all through Massachusetts General Hospital (MGH).",NO,ADHD|Attention Deficit Hyperactivity Disorder,,Massachusetts General Hospital,Shire,OBSERVATIONAL,Observational Model: |Time Perspective: p,2009-02
NCT05145920,Encouraging Positive Parenting Habits Through Digital Media,https://clinicaltrials.gov/study/NCT05145920,COMPLETED,"This study evaluates the feasibility and preliminary impacts of a new parenting program consisting of a series of educational videos, delivered via a popular texting platform. For this pilot project, the program content is focused on teaching parents strategies to better manage one of the commonly reported challenges that children face, a transition to a non-preferred activity. Parents with young children demonstrating behavior consistent with ADHD and experiencing difficulties with daily transition routines are invited to participate in the study.",NO,ADHD,BEHAVIORAL: HabitE (effective parenting habit) program (in Brazilian Portuguese),D'Or Institute for Research and Education,Okinawa Institute of Science and Technology Graduate University|Federal University of Rio Grande do Sul,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-11-01
NCT02683265,A Flexible-Dose Titration Study of Aptensio XR in Children Ages 4 to Under 6 Years Diagnosed With ADHD,https://clinicaltrials.gov/study/NCT02683265,COMPLETED,"This randomized, double-blind, flexible-dose, placebo-controlled, parallel group study is designed to evaluate Aptensio XR® compared to placebo in preschool age children with ADHD. Male and female children ages 4 years, 0 months to 5 years, 8 months with a diagnosis of ADHD (combined, inattentive or hyperactive/impulsive) will be enrolled.

There will be 6 phases in this study: a screening phase of up to 4 weeks, which will include washout if applicable, an enrollment \& parent training phase lasting 2-4 weeks, an eligibility phase of up to 2 weeks to determine eligibility for the open-label phase, a 6-week open-label dose titration phase, a 2 week double-blind phase for Aptensio XR® responders, and a two-week follow-up call after study completion or early discontinuation to assess for ongoing adverse events and concomitant medications.

Up to 150 subjects will be enrolled in this trial to allow for subjects who improve significantly during the behavior training phase and drop-outs. Once 74 subjects have completed the double-blind phase, no additional subjects will be enrolled in the trial. Subjects who are already enrolled at that time will be allowed to complete the trial.

The primary objective of this study is to establish that an optimal dose of Aptensio XR® will result in a significant reduction in ADHD symptoms compared with placebo in children ages 4 to under 6 years.",YES,Attention Deficit Disorder With Hyperactivity,DRUG: Aptensio XR|DRUG: Placebo,"Rhodes Pharmaceuticals, L.P.",,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2016-04-25
NCT03834766,Amphetamine Extended-Release Tablets in the Treatment of Adults With ADHD,https://clinicaltrials.gov/study/NCT03834766,COMPLETED,To evaluate the efficacy of AMPH ER TAB compared to placebo in adult patients with ADHD aged 18 to 60 years.,YES,ADHD,"DRUG: AMPH ER Tab 5, 10, 15 and 20 mg|DRUG: AMPH ER Tab Matching Placebo 5, 10, 15 and 20 mg","Tris Pharma, Inc.",Premier Research Group plc,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2019-02-06
NCT02642666,"The Effects of Yoga on Attention, Impulsivity and Hyperactivity in Pre-school Age Children",https://clinicaltrials.gov/study/NCT02642666,COMPLETED,"This pilot project will evaluate yoga as an intervention to improve attention and reduce challenging behaviors such as hyperactivity and impulsivity, rated by parent and teachers, in preschool age children with or ""at risk"" for attention-deficit hyperactivity disorder (ADHD). ""At Risk"" for ADHD will be defined as four or more hyperactive/impulsive and/or inattentive symptoms on the ADHD Rating Scale IV-Preschool Version as rated by parents or teachers. Using a randomized wait-list controlled experimental design, the investigators will explore the efficacy of practicing yoga for 6 weeks on behavioral symptoms, attentional control using a computer based tasks of attention, and heart rate variability (HRV), which is a measure of self-regulatory capacity. The investigators hypothesize that practicing yoga for six weeks of will improve ADHD and other behavioral symptoms based on parent and teacher rating scales, which will correlate with improvements in scores on the computer based task of attention as well as with improvements in HRV.",NO,ADHD,BEHAVIORAL: Children's Yoga,"University of California, Davis",,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,2015-12
NCT01177774,Assessment of Children With Tic Onset in the Past 6 Months,https://clinicaltrials.gov/study/NCT01177774,COMPLETED,"The purpose of this research is to study why most children who have tics never develop Tourette syndrome but some do. In other words, we aim to find features that may predict whose tics will go away and whose tics will continue or worsen, in children ages 5 through 10 years whose first tic occurred within the past 9 months.",NO,Tourette Syndrome|Tourette's Disorder|Chronic Motor or Vocal Tic Disorder|Transient Tic Disorder|Tic Disorders|Provisional Tic Disorder,,Washington University School of Medicine,National Institute of Mental Health (NIMH),OBSERVATIONAL,Observational Model: |Time Perspective: p,2010-08
NCT05710965,Assessing a Wearable Digital Therapy for Youth With ADHD,https://clinicaltrials.gov/study/NCT05710965,COMPLETED,The purpose of this study is to evaluate and compare three different investigational wearable digital interventions to determine if they are helpful for improving symptoms and functioning in children diagnosed with Attention-Deficit/Hyperactivity Disorder (ADHD).,NO,ADHD,DEVICE: FRx-001|DEVICE: FRx-003|DEVICE: FRx-004,Revibe Technologies,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2023-02-15
NCT03690674,Lifestyle Enhancement for ADHD Program,https://clinicaltrials.gov/study/NCT03690674,COMPLETED,The purpose of this study is to investigate if physical activity (PA) can increase in children with Attention Deficit/Hyperactivity Disorder (ADHD) using a modified behavioral management training (BMT) program.,YES,ADHD,BEHAVIORAL: Lifestyle Enhancement for ADHD Program,Seattle Children's Hospital,National Center for Complementary and Integrative Health (NCCIH),INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2018-11-15
NCT03018574,Candidate Gene Screening for Attention Deficit/Hyperactive Disorder (ADHD),https://clinicaltrials.gov/study/NCT03018574,COMPLETED,"Source: Sample bank of Xijing Hospital and Children's Hospital Affiliated to Soochow University; Sample form: Whole blood; Estimated number of samples: 100 patients with ADHD and age, sex matched healthy controls; Case exclusion criteria: all kinds of neuropsychiatric disorders, IQ value of less than 70;

Study protocol:

1. Using Qiagen kit to extract the genomic DNA of 200 microliters of blood.
2. UV spectrophotometer test DNA purity of 260/280 close to 1.8 (1.8 ± 0.05), the concentration of 100ng/μL or more before the next sequencing.
3. The extracted genomic DNA will be sent to Sangon Biology Engineering Limited Company (Shanghai) and sequenced to find candidate mutations related to ADHD risk sequence. According to NIH gene database, the longest transcript of NDRG2 (ID: 57447 gene, https://www.ncbi.nlm.nih.gov/nuccore/NC_000014.9? Report=genbank\&from=21016763\&to=21070872\&strand=true) (a total of 17 exons and 16 introns and the gene 5 'UTR and 3' UTR region) will be alignmented sequences to find potential mutations.
4. Using the chi square analysis and other statistical methods to determine the relationship between the mutations and susceptibility to ADHD.",NO,Gene Product Sequence Variation,,Xijing Hospital,Soochow University,OBSERVATIONAL,Observational Model: |Time Perspective: p,2016-05
